Village,lat,long,alt
Bali basti,26.9574,93.0218,299
Mobusu 2,26.9837,93.0263,177
Namorah,26.9345,93.1252,252
West Dekorai,26.9385,92.9902,123
Balliso,26.9397,93.1554,252
Dikalmukh Forest Beat,26.9462,93.1889,135
Jolly,27.0261,93.0418,319
Lasum Pathe,26.9528,93.0027,144
Mobusu 1,26.9751,93.0580,302
Niti Darlong,26.9305,93.0119,242
Upper Dikalmukh,26.9625,93.2666,645
Darlong,26.9362,93.0081,276
Dipik,26.9624,93.3349,160
Khari,26.9706,92.9274,221
Lower Seijosa,26.9293,93.0077,205
Passo,27.0051,93.0138,285
Taro Boso,27.0156,93.0152,541
Upper Seijosa,26.9460,93.0194,423
Along Topte,27.1426,93.2008,1749
Gumte,27.2052,93.1715,1407
Keko,27.1466,93.2099,1581
Lumta,27.1354,93.1259,1458
Pakro,27.2190,93.0813,1108
Passa camp,27.2190,93.0813,1108
Diderso,27.2069,93.1097,1274
Veo,27.2489,93.0948,1359
Lay,27.1944,93.1289,1425
Mado,27.2127,93.1035,1169
Taroyar,27.2330,93.0744,1078
Yarte Pobe,27.2015,93.0967,1429
Chumgong (New),27.2047,93.1125,1328
Doik,27.2014,93.1524,1168
jollang,27.2219,93.1049,1350
Pakke-Keshang,27.1518,93.2711,1741
Swchwng,27.1240,93.1597,1442
Sessa,27.0795,92.5294,1010
Elephant Flat,27.0742,92.5889,341
Tippi,27.0274,92.6102,161
Lower Bhalukpong,26.9958,92.6272,221
upper Bhalukpong,27.0105,92.6462,141
